country; title; title_type; info
TAIWAN;DOCTOR OF PHILOSOPHY ( Ph.D. );D (8);
TANZANIA;BACHELOR'S DEGREE;B (6);
TANZANIA;MASTER'S DEGREE;I (7);
TANZANIA;DOCTOR OF PHILOSOPHY;D (8);
THAILAND;BACHELOR;B (6);
THAILAND;MASTER;I  (7);
THAILAND;DOCTOR OF PHILOSOPHY (PH.D.);D (8);
TUNISIA;LICENCE;B (6);
TUNISIA;DIPLOME D'  INGENIEUR D'ETAT;I  (7);
TUNISIA;DOCTORAT;D (8);
TURKIYE;DOCTOR OF MEDICINE - TIP DOKTORLUGU;B (7);
TURKIYE;LISANS DIPLOMASI;B (6);
TURKIYE;YUKSEK  LISANS;B (7);
TURKIYE;YUKSEK  LISANS;I (7);
TURKIYE;DOKTORA DIPLOMASI;D (8);
U.S.A.;BACHELOR'S DEGREE;B (6);
U.S.A.;JURIS DOCTOR (J.D);B (6);
U.S.A.;BACHELOR OF FINE ARTS;B (6);
U.S.A.;BACHELOR OF MUSIC;B (6);
U.S.A.;MASTER'S DEGREE;I  (7);
U.S.A.;MASTER OF FINE ARTS;I  (7);
U.S.A.;MASTER OF MUSIC;I  (7);
U.S.A.;DOCTOR OF MEDICAL SCIENCE  (DMSc) ;D (8);
U.S.A.;DOCTOR OF PHILOSOPHY (PH.D);D (8);
U.S.A.;DOCTOR OF MEDICINE (MD) (4 χρόνια);B (6);
U.S.A.;DOCTOR OF DENTAL SURGERY (DDS) (4 χρόνια);B (6);
U.S.A.;DOCTOR OF DESIGN;D (8);
U.S.A.;DOCTOR OFMUSICAL ARTS;D (8);
U.S.A.;DOCTOR OF PHYSICAL THERAPY του ITHACA COLLEGE;B(6);
U.S.A.;DOCTOR OF PHARMACY;B(6);
UGANDA;BACHELOR;B (6);
UGANDA;MASTER;I  (7);
UGANDA;DOCTORATE;D (8);
UKRAINE;DIPLOMA BAKALAVR (4 χρόνια);B (6);
UKRAINE;DIPLOMA (5  χρόνια);B (6);Παλαιού τύπου
UKRAINE;DIPLOMA SPECIALISTA (5-6  χρόνια);B (7);
UKRAINE;DIPLOMA SPECIALISTA (1-2  χρόνια);I  (7);
UKRAINE;DIPLOMA MAGISTR;I  (7);
UKRAINE;KANDIDAT NAUK (3-4  χρόνια) / DOKTORA NAUK (2-3  χρόνια) (PhD);D (8);
UKRAINE;DOCTOR OF SCIENCE;D (8);
UKRAINE;DOKTORA NAUK;D (8);
UNITED KINDOM;MASTER OF SURGERY;I (7);
UNITED KINDOM;MASTER OF CHIROPRACTIC;I (7);
UNITED KINGDOM;BACHELOR OF ARTS;B (6);
UNITED KINGDOM;BACHELOR OF MEDICINE AND BACHELOR OF SURGERY (MBBS) (5-6 y);B (6);
UNITED KINGDOM;BACHELOR OF DENTAL SURGERY/BACHELOR OF VETERINARY MEDICINE (4-5 y);B (6);
UNITED KINGDOM;BACHELOR OF ARTS HONOURS / MASTER OF ARTS HONOURS;B (6);
UNITED KINGDOM;BACHELOR OF ARTS IN ARCHITECTURE (RIBA I);B (6);
UNITED KINGDOM;BACHELOR OF MUSIC (B.Mus);B (6);
UNITED KINGDOM;MASTER OF PHARMACY;B (6);
UNITED KINGDOM;MASTER OF PHARMACY HONOURS;B (6);
UNITED KINGDOM;BACHELOR OF ENGINEERING / MASTER OF ENGINEERING (ως βασικό πτυχίο);B (6);
UNITED KINGDOM;BACHELOR OF LAWS;B (6);
UNITED KINGDOM;BACHELOR OF SCIENCE;B (6);
UNITED KINGDOM;BACHELOR OF SCIENCE HONOURS (B.Sc.Hons);B (6);
UNITED KINGDOM;DIPLOMA (RIBA II) (σε συνεκτίμηση για BA  Πολυτεχνείου);I  (7);
UNITED KINGDOM;MASTER OF ARCHITECTURE ( RIBA II) σε συνεκτίμηση για BA  Πολυτεχνείου);I  (7);
UNITED KINGDOM;MAGISTER JURIS;I  (7);
UNITED KINGDOM;MASTER OF EDUCATION (M.Educ);I  (7);
UNITED KINGDOM;MASTER OF BUSINESS ADMINISTRATION (M.B.A);I  (7);
UNITED KINGDOM;MASTER OF LAWS (L.L.M);I  (7);
UNITED KINGDOM;MASTER OF LETTERS [MLitt.];I  (7);
UNITED KINGDOM;MASTER OF  STUDIES;I  (7);
UNITED KINGDOM;MASTER OF SCIENCE ( M.Sc);I  (7);
UNITED KINGDOM;MASTER OF SCIENCE BY RESEARCH;I  (7);
UNITED KINGDOM;MASTER OF RESEARCH;I  (7);
UNITED KINGDOM;MASTER OF MEDICAL STUDIES;I  (7);
UNITED KINGDOM;MASTER OF CLINICAL DENTISTRY;I  (7);
UNITED KINGDOM;MASTER OF MUSIC (M.Mus);I  (7);
UNITED KINGDOM;MASTER OF  ARTS ( M.A.);I  (7);
UNITED KINGDOM;MASTER OF PHILOSOPHY (M.Phil);I  (7);
UNITED KINGDOM;MASTER OF ECONOMIC AND SOCIAL STUDIES;I  (7);
UNITED KINGDOM;DOCTOR OF BUSINESS ADMINISTRATION;D (8);
UNITED KINGDOM;DOCTOR OF MEDICINE ( υπό προυποθέσεις );D (8);
UNITED KINGDOM;DOCTOR OF PHILOSOPHY (PhD);D (8);
UNITED KINGDOM;DOCTOR IN PHILOSOPHY AND MASTER OF SCIENCE ;D (8);
UNITED KINGDOM;MASTER OF PUBLIC HEALTH (MPH) ;I (7);
UNITED KINGDOM;DOCTOR OF MEDICINE;D (8);
UNITED KINGDOM;MASTER OF OSTEOPATHY;B(7);
UNITED KINGDOM;DOCTOR IN DENTISTRY (DDENT);D(8);
VATICAN;BACCALAUREATUS (3  χρονια);B (6);
VATICAN;LICENZA (1-2  χρονια);I  (7);
VATICAN;DOCTORATUS (3  χρονια);D (8);
VENEZUELA;LICENCIADO;B (6);
VENEZUELA;MAÅSTRIA;I  (7);
VENEZUELA;DOCTORADO;D (8);
VIETNAM;BACHELOR;B (6);
VIETNAM;MASTER;I  (7);
VIETNAM;DOCTOR;D (8);
YEMEN;BACHELOR’S DEGREE ;B (6);
YEMEN;MASTER;I (7);
ZIMBABWE;BACHELOR HONOURS (3-5 χρονια);B (6);
ZIMBABWE;MASTER OF PHILOSOPHY;I  (7);
ZIMBABWE;MASTER;I  (7);
ZIMBABWE;DOCTOR OF PHILOSOPHY (PH.D.);D (8);
UNITED KINGDOM;SPECIALIST DOCTORATE- DOCTOR  IN HEALTH CARE;D (8);
UNITED KINGDOM;MASTER OF ARTS (SOCIAL SCIENCES) (4y);B (6);
UNITED KINGDOM;DOCTOR OF PHILOSOPHY (PHD) WITH INTEGRATED STUDY;D (8);
U.S.A.;MASTER OF EDUCATION;I (7);
LATVIA;BACHELOR'S DIPLOMA (3-4 y, 180-240 ECTS);B (6);
LATVIA;PROFESSIONAL BACHELOR'S DIPLOMA (4y, 240 ECTS);B (6);
LATVIA;MASTER'S DIPLOMA (1-2 y, at least 60 ECTS);I (7);
LATVIA;PROFESSIONAL MASTER'S DIPLOMA (at least 1 y, at least 60a ECTS);I (7);
LATVIA;PROFESSIONAL MASTER'S DIPLOMA (medicine, dentistry, vet. medicine, pharmacy) (at least 5y, at least 300 ECTS);B (7);
LATVIA;DOCTOR'S DIPLOMA (3-4 y);D (8);
DEUTSCHLAND;BACHELOR OF ENGINEERING (3-4 years, 180-240 ECTS);B (6);
ARGENTINA;LICENCIADA/LICENCIADO (+field of study ) (4-7 y);B (6);
ARGENTINA;TITULO DE (+name of profession) (4-7 y);B (6);
ARGENTINA;MAGISTER (+ profesión, field of study)(MAESTRIA ACADEMICA / MAESTRIA PROFESIONAL) (1-2 years);I (7);
ARGENTINA;DOCTOR (PhD) (2-6 years);D (8);
UNITED KINGDOM;MASTER OF CHIROPRACTIC;B (7);
SERBIA;BACHELOR'S DEGREE (DIPLOMA) IN OCCUPATIONAL THERAPY;B (6);
UKRAINE;MASTER OF MEDICAL (DENTAL), / PHARMACEUTICAL /VETERINARY MEDICINE (MASTER DIPLOMA);B (7);
GEORGIA;HIGHER EDUCATION DIPLOMA;Β (7);
